"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"27","DvlA",173.293341882997,150.473595512943,186.98518970503,1.24264452555695,0.31341365394344,0.431405522704855,0.705936309880671
"28","DvlB",48.1262207085444,71.690110566043,33.9878867940451,0.474094495400931,-1.07675345251675,0.013712619540676,0.0658205737952447
"29","TcfA",101.758786604611,79.9196697955876,114.862256690026,1.43722136219796,0.523282284168287,0.197251647365662,0.456080389921684
"30","TcfB",25.2245211907639,21.3232379707357,27.5652911227808,1.29273476948538,0.370426307631316,0.370492003375458,0.652169236327723
"31","BcatA",91.197039343765,97.701183811794,87.2945526629476,0.893485106906246,-0.162484413042615,0.566494669970505,0.815752324757527
"32","BcatB",153.603805645515,136.881034656384,163.637468238994,1.19547217516128,0.257580551443099,0.479792149738394,0.750979016981835
"33","TgfBA",0.687512198547871,0.367313892946039,0.879631181908971,2.39476697941887,1.25988528268713,1,1
"34","TgfBB",24.355525627272,34.1268979336853,18.4927022434241,0.54188055062487,-0.883953228572801,0.117088590943926,0.344979466024129
"35","TgfBC",3.15523031515856,2.95609538487939,3.27471127332606,1.10778268187028,0.147674889926242,1,1
"36","TgfBD",0.411998177587912,0,0.659197084140659,Inf,Inf,0.521410918254895,0.766154818660254
"37","TgfBE",23.9634421137452,57.6421222259626,3.75623404641469,0.0651647424029582,-3.93976458909938,1.0930432728732e-07,2.62330385489567e-06
"38","TgfBF",8.51157110803307,9.03486961219153,8.197592005538,0.907328202553834,-0.140303592039868,0.898355825484431,1
"39","TgfBG",23.5071091166467,23.0233003263694,23.7973943908131,1.03362220244146,0.047708964896959,0.910281280879183,1
"40","TgfBH",6.93807741152611,15.8239786741252,1.60653665396663,0.101525456211185,-3.30008658476735,0.00114419206431121,0.00915353651448969
"41","TgfBI",19.7538358202905,25.5218681626809,16.2930164148563,0.63839434915194,-0.647480213512809,0.279944047592762,0.546906841863857
"42","TgfBJ",9.20598691845313,24.5492984492083,0,0,-Inf,0.000155478252338579,0.00159920488119681
"43","TgfBK",0,0,0,NA,NA,NA,NA
"44","TgfBL",0.465752745095632,0.367313892946039,0.524816056385388,1.42879446289413,0.514798394606868,1,1
"45","TgfBM",0.661484346279092,0,1.05837495404655,Inf,Inf,0.789199440250491,1
"46","TgfBN",148.060725548686,358.459361605221,21.8215439147641,0.0608759213793294,-4.03798448669753,1.38776120633179e-22,9.99188068558891e-21
"47","TgfBO",1.41203446141771,1.40877263310865,1.41399155840314,1.00370459020273,0.00533471853086791,1,1
"48","TgfBP",26.0274552679792,20.8268015519249,29.1478474976118,1.399535469954,0.484948051168256,0.416390542396338,0.697212070989218
"49","TgfBQ",0.195273513780489,0.520729370081305,0,0,-Inf,0.963007342072131,1
"50","TgfBR",31.4565072450233,32.4998106238728,30.8305252177136,0.948637072828569,-0.0760718447064612,1,1
"51","TgfBS",0.913407132740926,1.01172802321627,0.854414598455717,0.844510163650051,-0.243813308972258,1,1
"52","TgfBT",4.98716714070183,5.16269762539354,4.8818488498868,0.945600382612892,-0.0806974756223296,0.935610431659458,1
"53","TgfBU",25.2165403523019,62.3949528925563,2.9094928281492,0.0466302592320139,-4.42258973968728,6.24509443482538e-10,2.24823399653714e-08
"54","TgfBV",22.6768508896255,22.7749093012087,22.6180158426755,0.993111126966162,-0.00997293367671689,0.925202617567939,1
"55","Smad4",20.1204116850694,12.7749507507861,24.5276882456395,1.91998299830081,0.941093535750749,0.138843891219861,0.370250376586296
"56","Smad15",178.771321005455,139.987054570279,202.041880866561,1.44328974908982,0.529360958604034,0.119784536813934,0.344979466024129
"57","SmadRa",147.137062510943,124.350734543138,160.808859291626,1.29318785194502,0.37093186013232,0.183026977771302,0.454411806880473
"58","SmadRb",40.0397031039734,43.8815299732957,37.7346069823801,0.859920039372913,-0.217725579448653,0.579171920484375,0.817654475977941
"59","Smad67a",19.7544483574739,14.9926779621527,22.6115105946667,1.50817023161219,0.592799279032187,0.39014327797065,0.668817047949686
"60","Smad67b",81.4167771343688,51.1684425903336,99.5657778607899,1.94584343045061,0.960395630365757,0.214018016663579,0.466948399993263
"61","Bra1",60.0039549324394,57.8831286678917,61.276450691168,1.05862368018746,0.0821898308660064,0.918129196589451,1
"62","Bra2",181.817735227887,92.078762380776,235.661118936154,2.55934281524786,1.35577340440473,4.63673101515294e-05,0.000667689266182023
"63","TbxA",22.5437193495365,37.2590043689153,13.7145483379092,0.368086817407045,-1.44188201265259,0.0564762323220151,0.203314436359254
